                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3596,                 1.9558,                 1.0431,                0.79019,                 0.6861,                0.76552,                0.47027,                 1.2151,                 1.2172,                 1.0352,             0.00066396,             0.00066396,             0.00066396
                      2,                 1.3032,                 1.1235,                 1.0491,                0.84961,                 0.7106,                0.80852,                0.51313,                 1.1297,                0.92011,                 1.0114,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.2558,                0.95719,                 1.0385,                0.83179,                0.72412,                  0.821,                0.53684,                 1.1204,                0.86642,                 1.0352,              0.0019577,              0.0019577,              0.0019577
                      4,                 1.2224,                0.90274,                 1.0335,                0.83334,                 0.7199,                0.81576,                0.51536,                 1.1582,                0.80262,                 1.0476,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1898,                0.83859,                 1.0129,                0.85486,                0.71483,                0.82318,                0.52435,                 1.1408,                0.81655,                 1.0333,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1794,                0.84182,                 1.0115,                0.84548,                0.75821,                0.84433,                 0.5592,                  1.047,                0.72508,                  0.986,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1331,                0.79103,                 1.0001,                0.91003,                0.73469,                0.85935,                0.59297,                 0.9863,                0.69203,                 0.9869,               0.001901,               0.001901,               0.001901
                      8,                 1.1166,                0.76487,                0.99486,                0.88327,                0.75919,                0.85953,                0.59459,                0.96478,                0.66141,                0.96965,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1239,                0.77514,                0.99467,                0.86562,                0.76172,                0.85539,                0.59169,                  1.009,                0.67235,                0.99131,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1111,                0.74462,                 0.9905,                0.88072,                0.78623,                  0.878,                 0.6091,                0.97563,                0.64457,                0.98123,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0918,                0.74622,                0.98931,                0.89058,                0.77778,                0.88082,                0.62692,                0.93205,                0.63766,                0.95636,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0728,                0.72122,                0.98936,                0.86666,                0.77905,                0.87557,                0.58659,                 1.0431,                0.65099,                0.99583,               0.001802,               0.001802,               0.001802
                     13,                  1.067,                0.71385,                0.97996,                0.88019,                0.79679,                0.88943,                0.62198,                0.96471,                0.61438,                 0.9649,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0626,                0.71104,                0.97949,                0.87689,                0.77693,                0.87773,                0.60884,                0.99026,                0.63532,                0.96818,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0622,                0.71076,                0.97968,                0.87662,                0.79679,                0.88221,                0.59628,                 1.0091,                0.62763,                0.97751,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0478,                0.70303,                0.98051,                 0.8921,                0.74402,                0.85931,                0.58282,                 1.0475,                0.68233,                0.99007,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.036,                0.70741,                0.96444,                 0.9192,                0.76426,                0.87147,                0.62372,                0.91044,                0.62961,                0.96442,               0.001703,               0.001703,               0.001703
                     18,                 1.0317,                 0.6858,                0.97052,                0.89667,                0.79553,                0.89042,                0.62345,                 0.9047,                0.61476,                0.94669,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0322,                0.67871,                0.96493,                0.90896,                0.77229,                0.88424,                0.59668,                 1.0119,                0.60328,                0.97515,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.0326,                0.67719,                0.97105,                0.88417,                0.78792,                0.88655,                0.62861,                0.93091,                0.58125,                0.94769,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0183,                0.65955,                0.96028,                0.84751,                0.79129,                0.87187,                0.61151,                0.93519,                0.59573,                0.95464,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0185,                0.65319,                0.96216,                0.89861,                0.80874,                0.89949,                0.63907,                0.89733,                0.57459,                0.94279,               0.001604,               0.001604,               0.001604
                     23,                 1.0232,                0.67241,                0.96157,                0.91149,                0.80492,                0.90072,                0.65166,                0.87044,                0.57181,                0.94106,              0.0015842,              0.0015842,              0.0015842
                     24,                  1.006,                0.66424,                0.95749,                0.90462,                0.79341,                0.89462,                0.62899,                0.92634,                0.57799,                0.95593,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.9939,                 0.6379,                0.95247,                0.91699,                0.79299,                0.90197,                0.65219,                0.89241,                0.55439,                0.94841,              0.0015446,              0.0015446,              0.0015446
                     26,                0.99639,                0.64129,                0.95626,                0.91623,                0.80439,                0.90144,                0.64986,                0.88858,                 0.5524,                0.94545,              0.0015248,              0.0015248,              0.0015248
                     27,                0.99629,                0.63927,                0.95798,                0.91611,                0.80313,                0.90405,                0.65763,                0.87178,                0.54555,                0.95001,               0.001505,               0.001505,               0.001505
                     28,                0.98472,                0.63036,                0.95267,                0.87609,                0.81284,                0.89634,                0.62836,                0.92872,                0.58322,                0.95109,              0.0014852,              0.0014852,              0.0014852
                     29,                0.98486,                 0.6224,                0.94502,                0.90627,                0.81876,                0.90641,                 0.6611,                0.86224,                 0.5378,                0.93374,              0.0014654,              0.0014654,              0.0014654
                     30,                0.98356,                0.63128,                0.95274,                0.91564,                0.78369,                0.89595,                0.63462,                0.92052,                0.54851,                0.96094,              0.0014456,              0.0014456,              0.0014456
                     31,                0.98921,                0.62573,                0.95405,                0.91894,                0.79509,                0.89916,                0.64051,                0.91274,                0.55564,                0.95305,              0.0014258,              0.0014258,              0.0014258
                     32,                0.97902,                0.62184,                0.95376,                0.90513,                0.81826,                0.90966,                0.65574,                0.86626,                0.53358,                0.93719,               0.001406,               0.001406,               0.001406
                     33,                0.96228,                0.59906,                0.93773,                0.92879,                0.79897,                0.90882,                0.66044,                0.85758,                0.53248,                0.93752,              0.0013862,              0.0013862,              0.0013862
                     34,                0.97589,                0.60462,                0.95117,                0.91617,                0.80946,                 0.9069,                0.65778,                0.87025,                0.52731,                0.93738,              0.0013664,              0.0013664,              0.0013664
                     35,                0.95812,                0.59214,                0.93957,                0.90285,                0.82847,                0.91408,                0.66619,                0.85813,                0.52495,                0.92776,              0.0013466,              0.0013466,              0.0013466
                     36,                0.94686,                0.59977,                0.93877,                0.90322,                0.80043,                 0.9006,                 0.6391,                0.92896,                0.54657,                0.95178,              0.0013268,              0.0013268,              0.0013268
                     37,                0.95707,                0.59126,                0.94528,                0.92318,                0.80101,                0.90507,                0.65888,                0.86377,                0.53392,                0.93346,               0.001307,               0.001307,               0.001307
                     38,                0.94127,                0.58772,                0.93618,                0.90983,                0.81327,                0.90639,                0.64659,                0.89462,                0.53698,                0.93407,              0.0012872,              0.0012872,              0.0012872
                     39,                0.94839,                0.58882,                0.93735,                0.90276,                0.81969,                0.90967,                0.65873,                0.88083,                0.51773,                0.93725,              0.0012674,              0.0012674,              0.0012674
                     40,                0.93515,                0.58532,                0.93786,                0.91043,                0.83566,                0.91654,                0.66904,                0.86392,                0.51953,                0.93684,              0.0012476,              0.0012476,              0.0012476
                     41,                0.93827,                0.57957,                0.93657,                0.93605,                0.81665,                0.91923,                0.66851,                0.85256,                0.50351,                0.93197,              0.0012278,              0.0012278,              0.0012278
                     42,                0.94488,                 0.5714,                0.92765,                0.91595,                0.81951,                0.91161,                 0.6668,                0.86069,                0.50461,                0.93657,               0.001208,               0.001208,               0.001208
                     43,                0.93201,                0.57519,                 0.9313,                0.91946,                0.82552,                0.91928,                0.67851,                 0.8368,                0.50148,                0.92863,              0.0011882,              0.0011882,              0.0011882
                     44,                0.92852,                0.57068,                0.93079,                0.91401,                0.82594,                0.91294,                0.66949,                0.83826,                0.50139,                0.92604,              0.0011684,              0.0011684,              0.0011684
                     45,                0.93699,                0.57516,                0.93324,                0.91076,                0.83523,                0.92026,                0.68088,                0.82853,                0.49826,                0.92509,              0.0011486,              0.0011486,              0.0011486
                     46,                0.93043,                0.56359,                0.92935,                0.91111,                0.82341,                0.91829,                0.66479,                0.86818,                0.51226,                0.93185,              0.0011288,              0.0011288,              0.0011288
                     47,                0.92376,                0.56394,                0.93243,                0.91535,                0.83143,                0.91854,                0.67432,                0.84884,                0.50114,                0.93924,               0.001109,               0.001109,               0.001109
                     48,                0.92928,                 0.5644,                0.93292,                0.91245,                0.82763,                 0.9176,                0.66427,                0.87428,                0.50845,                0.93853,              0.0010892,              0.0010892,              0.0010892
                     49,                0.91239,                0.56162,                0.92639,                0.93177,                0.81918,                0.92036,                0.68384,                 0.8311,                0.49158,                0.92525,              0.0010694,              0.0010694,              0.0010694
                     50,                0.91741,                0.57111,                0.93162,                0.90713,                0.84833,                0.92251,                0.68076,                0.83191,                0.49409,                0.91764,              0.0010496,              0.0010496,              0.0010496
                     51,                0.92277,                0.55681,                0.92466,                0.92162,                0.83957,                  0.926,                0.68999,                0.81917,                0.48314,                0.91507,              0.0010298,              0.0010298,              0.0010298
                     52,                0.91644,                0.54819,                0.92068,                0.93935,                0.82383,                0.92485,                0.69337,                0.81074,                0.48301,                0.91381,                0.00101,                0.00101,                0.00101
                     53,                 0.9141,                 0.5539,                 0.9243,                0.93657,                0.82129,                0.92219,                0.68247,                0.83807,                0.49334,                0.92545,              0.0009902,              0.0009902,              0.0009902
                     54,                0.89561,                 0.5383,                0.92629,                0.91358,                0.84326,                 0.9255,                0.68493,                0.83658,                 0.4898,                0.92471,              0.0009704,              0.0009704,              0.0009704
                     55,                0.90869,                0.54932,                0.92302,                0.90244,                0.85189,                0.92328,                0.67853,                0.83261,                0.48832,                 0.9216,              0.0009506,              0.0009506,              0.0009506
                     56,                0.90103,                0.54222,                0.92171,                0.91059,                0.83904,                0.92293,                0.67387,                0.84898,                0.49327,                0.92596,              0.0009308,              0.0009308,              0.0009308
                     57,                0.91164,                0.54604,                0.92268,                0.91143,                0.83475,                0.92352,                0.67423,                0.85077,                0.49153,                0.92557,               0.000911,               0.000911,               0.000911
                     58,                 0.8945,                0.53128,                0.91883,                0.91256,                0.83773,                0.92502,                0.68423,                0.83213,                0.48269,                0.92432,              0.0008912,              0.0008912,              0.0008912
                     59,                0.90017,                0.54452,                0.92145,                0.93157,                0.81668,                0.92479,                 0.6831,                0.82507,                0.48881,                0.91854,              0.0008714,              0.0008714,              0.0008714
                     60,                0.89313,                0.53523,                 0.9171,                0.91312,                0.84791,                 0.9248,                0.68534,                0.82472,                 0.4822,                0.91754,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.8966,                0.53592,                0.92401,                 0.9187,                0.84833,                0.92971,                0.68811,                0.84448,                0.47465,                 0.9213,              0.0008318,              0.0008318,              0.0008318
                     62,                0.88189,                0.53284,                0.91485,                0.92423,                0.83478,                0.92421,                0.68202,                0.84206,                 0.4874,                0.92207,               0.000812,               0.000812,               0.000812
